x,y,p,tv,u,v,dx-velocity-dy
-7.45E-09,-1.00E-02,-8.71E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.660299932E-04
 4.999935627E-04,-1.00E-02,-8.71E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.117041627E-04
 9.999945760E-04,-1.00E-02,-8.71E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.13E-03
 1.499995589E-03,-1.00E-02,-8.71E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.66E-02
 1.999996603E-03,-1.00E-02,-8.71E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.87E-02
 2.499990165E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-6.72E-02
 2.999991179E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.01E-01
 3.499999642E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.37E-01
 4.000000656E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.75E-01
 4.500001669E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.14E-01
 4.999995232E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.53E-01
 5.499996245E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.92E-01
 5.999997258E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.31E-01
 6.499998271E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.70E-01
 6.999999285E-03,-1.00E-02,-8.72E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-4.08E-01
