x,y,p,tv,u,v
 2.999991179E-03,-8.50E-03,-8.71E-02, 1.902230991E-04,-1.73E-04, 7.868040344E-05
 5.999998748E-02,-8.50E-03,-4.32E-02, 2.656749413E-03,-2.66E-03,-6.37E-05
 1.169999987E-01,-8.50E-03, 7.370086070E-04, 3.732328866E-03, 3.732305885E-03, 1.298781083E-05
 1.739999801E-01,-8.50E-03, 5.552753406E-04, 3.694689931E-03, 3.694683990E-03,-6.58E-06
 2.999991179E-03,-5.00E-03,-8.73E-02, 8.751714185E-04,-5.36E-04, 6.904504128E-04
 5.999998748E-02,-5.00E-03,-4.38E-02, 3.978423021E-03, 3.883712314E-03,-8.57E-04
 1.169999987E-01,-5.00E-03, 7.063836178E-04, 1.262408501E-02, 1.262351084E-02, 1.202161177E-04
 1.739999801E-01,-5.00E-03, 5.564748068E-04, 1.120125328E-02, 1.120123153E-02,-2.20E-05
-6.60E-02, 3.000000026E-03, 1.072001792E-01, 2.500570407E-02, 2.500471715E-02, 2.218482370E-04
-3.60E-02, 3.000000026E-03, 9.004133874E-03, 2.511930176E-02, 2.511923596E-02, 5.746584128E-05
 2.999991179E-03, 4.999999888E-03,-8.47E-02, 2.919642440E-02, 2.918807664E-02,-6.98E-04
 5.999998748E-02, 4.999999888E-03,-4.02E-02, 1.603148134E-02, 1.597531795E-02,-1.34E-03
 1.169999987E-01, 4.999999888E-03, 8.782560419E-05, 8.031689559E-03, 8.025760221E-03, 3.085274929E-04
 1.739999801E-01, 4.999999888E-03, 6.676108708E-04, 1.047493789E-02, 1.047461398E-02, 8.237333054E-05
-6.60E-02, 6.999999750E-03, 1.072001680E-01, 2.500573111E-02, 2.500474405E-02,-2.22E-04
-3.60E-02, 6.999999750E-03, 9.014946065E-03, 2.511827116E-02, 2.511820337E-02,-5.83E-05
