x,y,p,u,v,u
 5.999998748E-02,-1.00E-02,-4.31E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
 5.999998748E-02,-9.50E-03,-4.32E-02,-1.37E-03,-7.74E-06,-1.37E-03
 5.999998748E-02,-9.00E-03,-4.32E-02,-2.25E-03,-2.70E-05,-2.25E-03
 5.999998748E-02,-8.50E-03,-4.32E-02,-2.66E-03,-6.37E-05,-2.66E-03
 5.999998748E-02,-8.00E-03,-4.33E-02,-2.63E-03,-1.20E-04,-2.63E-03
 5.999998748E-02,-7.50E-03,-4.34E-02,-2.21E-03,-1.96E-04,-2.21E-03
 5.999998748E-02,-7.00E-03,-4.35E-02,-1.45E-03,-2.94E-04,-1.45E-03
 5.999998748E-02,-6.50E-03,-4.36E-02,-4.18E-04,-4.10E-04,-4.18E-04
 5.999998748E-02,-6.00E-03,-4.37E-02, 8.462135077E-04,-5.44E-04, 8.462135077E-04
 5.999998748E-02,-5.50E-03,-4.37E-02, 2.292690011E-03,-6.94E-04, 2.292690011E-03
 5.999998748E-02,-5.00E-03,-4.38E-02, 3.883712314E-03,-8.57E-04, 3.883712314E-03
 5.999998748E-02,-4.50E-03,-4.39E-02, 5.588993904E-03,-1.03E-03, 5.588993904E-03
 5.999998748E-02,-4.00E-03,-4.39E-02, 7.382674398E-03,-1.21E-03, 7.382674398E-03
 5.999998748E-02,-3.50E-03,-4.39E-02, 9.239984863E-03,-1.40E-03, 9.239984863E-03
 5.999998748E-02,-3.00E-03,-4.39E-02, 1.113506528E-02,-1.58E-03, 1.113506528E-02
 5.999998748E-02,-2.50E-03,-4.38E-02, 1.303839877E-02,-1.77E-03, 1.303839877E-02
 5.999998748E-02,-2.00E-03,-4.37E-02, 1.491426718E-02,-1.94E-03, 1.491426718E-02
 5.999998748E-02,-1.50E-03,-4.36E-02, 1.672017521E-02,-2.09E-03, 1.672017521E-02
 5.999998748E-02,-1.00E-03,-4.34E-02, 1.840749750E-02,-2.23E-03, 1.840749750E-02
 5.999998748E-02,-5.00E-04,-4.31E-02, 1.992426255E-02,-2.34E-03, 1.992426255E-02
 5.999999912E-02,-2.13E-07,-4.29E-02, 2.121746253E-02,-2.42E-03, 2.121746253E-02
 5.999998748E-02, 5.000000237E-04,-4.26E-02, 2.223619207E-02,-2.47E-03, 2.223619207E-02
 5.999998748E-02, 1.000000047E-03,-4.23E-02, 2.290991194E-02,-2.48E-03, 2.290991194E-02
 5.999998748E-02, 1.500000013E-03,-4.19E-02, 2.321508471E-02,-2.44E-03, 2.321508471E-02
 5.999998748E-02, 2.000000095E-03,-4.16E-02, 2.319332553E-02,-2.37E-03, 2.319332553E-02
 5.999998748E-02, 2.499999944E-03,-4.13E-02, 2.282214309E-02,-2.27E-03, 2.282214309E-02
 5.999998748E-02, 3.000000026E-03,-4.10E-02, 2.207190135E-02,-2.13E-03, 2.207190135E-02
 5.999998748E-02, 3.499999875E-03,-4.08E-02, 2.097233550E-02,-1.96E-03, 2.097233550E-02
 5.999998748E-02, 4.000000190E-03,-4.05E-02, 1.955694383E-02,-1.77E-03, 1.955694383E-02
 5.999998748E-02, 4.499999806E-03,-4.04E-02, 1.787174976E-02,-1.56E-03, 1.787174976E-02
 5.999998748E-02, 4.999999888E-03,-4.02E-02, 1.597531795E-02,-1.34E-03, 1.597531795E-02
 5.999998748E-02, 5.499999970E-03,-4.01E-02, 1.393517505E-02,-1.12E-03, 1.393517505E-02
 5.999998748E-02, 6.000000052E-03,-4.01E-02, 1.182509112E-02,-9.01E-04, 1.182509112E-02
 5.999998748E-02, 6.499999668E-03,-4.01E-02, 9.720282469E-03,-6.98E-04, 9.720282469E-03
 5.999998748E-02, 6.999999750E-03,-4.01E-02, 7.693005725E-03,-5.15E-04, 7.693005725E-03
 5.999998748E-02, 7.499999832E-03,-4.01E-02, 5.808121972E-03,-3.57E-04, 5.808121972E-03
 5.999998748E-02, 8.000000380E-03,-4.02E-02, 4.119927492E-03,-2.27E-04, 4.119927492E-03
 5.999998748E-02, 8.500000462E-03,-4.02E-02, 2.670477213E-03,-1.28E-04, 2.670477213E-03
 5.999998748E-02, 8.999999613E-03,-4.03E-02, 1.489541827E-03,-5.90E-05, 1.489541827E-03
 5.999998748E-02, 9.499999695E-03,-4.03E-02, 5.962631106E-04,-1.83E-05, 5.962631106E-04
 5.999998748E-02, 9.999999776E-03,-4.03E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
