iteration,total,bc,data,f,error_l2
99,0.4850292205810547,0.2785228192806244,0.20300927758216858,0.0034971360582858324,0.9807244539260864
199,0.35907846689224243,0.15923947095870972,0.1949387937784195,0.004900211468338966,0.8143436908721924
299,0.1672530174255371,0.11351461708545685,0.048289112746715546,0.00544927641749382,0.3856317102909088
399,0.18505001068115234,0.14233843982219696,0.014880048111081123,0.02783152088522911,0.3465162217617035
499,0.05855239927768707,0.046356286853551865,0.004973139148205519,0.007222974207252264,0.2103613018989563
599,0.04409363493323326,0.035376012325286865,0.002015817677602172,0.006701805163174868,0.17998452484607697
699,0.041736356914043427,0.034238021820783615,0.0016315127722918987,0.0058668227866292,0.16772609949111938
799,0.03518528491258621,0.02874438837170601,0.0010493035661056638,0.005391593556851149,0.15687516331672668
899,0.04188637435436249,0.0327090285718441,0.0014132470823824406,0.00776409637182951,0.17202988266944885
999,0.03250133618712425,0.02603979781270027,0.0012670723954215646,0.005194465629756451,0.15416866540908813
1099,0.02968277782201767,0.024459868669509888,0.00069895398337394,0.004523954354226589,0.1524229198694229
1199,0.02685660310089588,0.02140570990741253,0.0005767311085946858,0.004874162841588259,0.14698190987110138
1299,0.029147671535611153,0.02415211871266365,0.0005763652152381837,0.0044191875495016575,0.1489027440547943
1399,0.023521799594163895,0.017924459651112556,0.00044334359699860215,0.005153997801244259,0.14139483869075775
1499,0.022623565047979355,0.01702103205025196,0.0004466986283659935,0.005155833438038826,0.13897106051445007
1599,0.046826429665088654,0.040287718176841736,0.0015053251991048455,0.0050333840772509575,0.15191730856895447
1699,0.0219868253916502,0.016876038163900375,0.0004359394370112568,0.004674847237765789,0.13353393971920013
1799,0.02248106524348259,0.01823587901890278,0.00038684101309627295,0.00385834532789886,0.13062335550785065
1899,0.03657523915171623,0.023586537688970566,0.0008923636050894856,0.012096337042748928,0.14088661968708038
1999,0.05016862228512764,0.04191111400723457,0.0011181604349985719,0.0071393465623259544,0.13842667639255524
2099,0.01759713888168335,0.013313192874193192,0.0003217171470168978,0.003962228540331125,0.12315794825553894
2199,0.015719518065452576,0.011671955697238445,0.00032376861781813204,0.0037237931974232197,0.11869722604751587
2299,0.01741139590740204,0.013298159465193748,0.0002987197076436132,0.003814516356214881,0.1174098402261734
2399,0.01829364523291588,0.013888931833207607,0.00023449514992535114,0.004170217551290989,0.11443395167589188
2499,0.022316589951515198,0.013626273721456528,0.000534083170350641,0.008156231604516506,0.12117268890142441
2599,0.013996047899127007,0.009853126481175423,0.00037984378286637366,0.003763078013435006,0.11727604269981384
2699,0.013860690407454967,0.010071514174342155,0.000217813765630126,0.0035713622346520424,0.11035213619470596
2799,0.010686896741390228,0.007727411109954119,0.0002023417764576152,0.0027571439277380705,0.10643817484378815
2899,0.015002969652414322,0.010458975099027157,0.00033658285974524915,0.004207411780953407,0.10918362438678741
2999,0.01953650824725628,0.01122523657977581,0.0004567680007312447,0.007854503579437733,0.11226146668195724
3099,0.011671849526464939,0.009108424186706543,0.00028891448164358735,0.0022745104506611824,0.10480517894029617
3199,0.01721096783876419,0.0144732017070055,0.00047962088137865067,0.002258146647363901,0.10847683995962143
3299,0.009996352717280388,0.006654247175902128,0.00036782227107323706,0.002974283881485462,0.10435865074396133
3399,0.010868879966437817,0.008829930797219276,0.00032323706545867026,0.001715711783617735,0.10193371772766113
3499,0.013371291570365429,0.009796212427318096,0.0004036462923977524,0.003171432763338089,0.10252809524536133
3599,0.007222138345241547,0.005040946416556835,0.00015939299191813916,0.0020217986311763525,0.09939482808113098
3699,0.013935230672359467,0.011715209111571312,0.0003813377406913787,0.0018386839656159282,0.10119011253118515
3799,0.008987772278487682,0.0066215647384524345,0.0001899037160910666,0.002176303183659911,0.10208828747272491
3899,0.005010597873479128,0.003130481345579028,0.00012889409845229238,0.001751222531311214,0.09531718492507935
3999,0.005253863986581564,0.0036279528867453337,0.00016190309543162584,0.0014640081208199263,0.09369632601737976
4099,0.01162304449826479,0.009298802353441715,0.00022846284264232963,0.0020957791712135077,0.09533160924911499
