x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 8.552830916E-19, 5.000000075E-02,-8.88E-05, 1.166733652E-02, 0.000000000E+00, 0.000000000E+00, 1.166733652E-02,-1.34E+02
 1.499999966E-04, 5.000000000E-02,-5.62E-04, 2.500000009E-02, 0.000000000E+00, 0.000000000E+00, 2.500000009E-02,-1.02E+02
 2.999999933E-04, 5.000000000E-02,-1.03E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.69E+01
 4.499999899E-04, 5.000000000E-02,-1.47E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.88E+01
 5.999999866E-04, 5.000000000E-02,-1.87E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.97E+01
 7.499999832E-04, 5.000000000E-02,-2.26E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.45E+01
 8.999999799E-04, 5.000000000E-02,-2.64E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.11E+01
 1.049999977E-03, 5.000000000E-02,-3.02E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-1.88E+01
 1.199999973E-03, 5.000000000E-02,-3.38E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-1.71E+01
 1.349999970E-03, 5.000000000E-02,-3.75E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-1.58E+01
 1.499999966E-03, 5.000000000E-02,-4.11E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-1.47E+01
 1.649999963E-03, 5.000000000E-02,-4.47E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-1.39E+01
