x,y,sv
 1.627499983E-02, 5.026204139E-02, 2.352070436E-02
 1.642500050E-02, 5.026204139E-02, 2.354924195E-02
 1.657500118E-02, 5.026204139E-02, 2.357969247E-02
 1.672499999E-02, 5.026204139E-02, 2.361202985E-02
 1.687500067E-02, 5.026204139E-02, 2.364620939E-02
 1.702499948E-02, 5.026204139E-02, 2.368216962E-02
 1.717500016E-02, 5.026204139E-02, 2.371983416E-02
 1.732500084E-02, 5.026204139E-02, 2.375910804E-02
 1.747499965E-02, 5.026204139E-02, 2.379987016E-02
 1.762500033E-02, 5.026204139E-02, 2.384197526E-02
 1.777500100E-02, 5.026204139E-02, 2.388525009E-02
 1.792499982E-02, 5.026204139E-02, 2.392948605E-02
 1.807500049E-02, 5.026204139E-02, 2.397444285E-02
 1.822500117E-02, 5.026204139E-02, 2.401984297E-02
 1.837499999E-02, 5.026204139E-02, 2.406536415E-02
 1.852500066E-02, 5.026204139E-02, 2.411064319E-02
 1.867499948E-02, 5.026204139E-02, 2.415527403E-02
 1.882500015E-02, 5.026204139E-02, 2.419880778E-02
 1.897500083E-02, 5.026204139E-02, 2.424075827E-02
 1.912499964E-02, 5.026204139E-02, 2.428060956E-02
 1.927500032E-02, 5.026204139E-02, 2.431782335E-02
 1.942500100E-02, 5.026204139E-02, 2.435185201E-02
 1.957499981E-02, 5.026204139E-02, 2.438215911E-02
 1.972500049E-02, 5.026204139E-02, 2.440823428E-02
 1.987500116E-02, 5.026204139E-02, 2.442961000E-02
 2.002499998E-02, 5.026204139E-02, 2.444588766E-02
 2.017500065E-02, 5.026204139E-02, 2.445675433E-02
 2.032499947E-02, 5.026204139E-02, 2.446199208E-02
 2.047500014E-02, 5.026204139E-02, 2.446150035E-02
 2.062500082E-02, 5.026204139E-02, 2.445528843E-02
 2.077499963E-02, 5.026204139E-02, 2.444348298E-02
 2.092500031E-02, 5.026204139E-02, 2.442632057E-02
 2.107500099E-02, 5.026204139E-02, 2.440413460E-02
 2.122499980E-02, 5.026204139E-02, 2.437734045E-02
 2.137500048E-02, 5.026204139E-02, 2.434641123E-02
 2.152500115E-02, 5.026204139E-02, 2.431186661E-02
 2.167499997E-02, 5.026204139E-02, 2.427424863E-02
 2.182500064E-02, 5.026204139E-02, 2.423410304E-02
 2.197499946E-02, 5.026204139E-02, 2.419196442E-02
 2.212500013E-02, 5.026204139E-02, 2.414834499E-02
 2.227500081E-02, 5.026204139E-02, 2.410372347E-02
 2.242499962E-02, 5.026204139E-02, 2.405854501E-02
 2.257500030E-02, 5.026204139E-02, 2.401320077E-02
 2.272500098E-02, 5.026204139E-02, 2.396805026E-02
 2.287499979E-02, 5.026204139E-02, 2.392340265E-02
 2.302500047E-02, 5.026204139E-02, 2.387953177E-02
 2.317500114E-02, 5.026204139E-02, 2.383667231E-02
 2.332499996E-02, 5.026204139E-02, 2.379501984E-02
 2.347500063E-02, 5.026204139E-02, 2.375474572E-02
 2.362499945E-02, 5.026204139E-02, 2.371598966E-02
 2.377500013E-02, 5.026204139E-02, 2.367886342E-02
 2.392500080E-02, 5.026204139E-02, 2.364346199E-02
 2.407499962E-02, 5.026204139E-02, 2.360985428E-02
 2.422500029E-02, 5.026204139E-02, 2.357809618E-02
 2.437500097E-02, 5.026204139E-02, 2.354822867E-02
 2.452499978E-02, 5.026204139E-02, 2.352027781E-02
 2.467500046E-02, 5.026204139E-02, 2.349425666E-02
 2.482500114E-02, 5.026204139E-02, 2.347017266E-02
 2.497499995E-02, 5.026204139E-02, 2.344802395E-02
 2.512500063E-02, 5.026204139E-02, 2.342779934E-02
 2.527499944E-02, 5.026204139E-02, 2.340948395E-02
 2.542500012E-02, 5.026204139E-02, 2.339306101E-02
 2.557500079E-02, 5.026204139E-02, 2.337850630E-02
 2.572499961E-02, 5.026204139E-02, 2.336580120E-02
 2.587500028E-02, 5.026204139E-02, 2.335491776E-02
 2.602500096E-02, 5.026204139E-02, 2.334583923E-02
 2.617499977E-02, 5.026204139E-02, 2.333854139E-02
 2.632500045E-02, 5.026204139E-02, 2.333300933E-02
 2.647500113E-02, 5.026204139E-02, 2.332923003E-02
 2.662499994E-02, 5.026204139E-02, 2.332719415E-02
 2.677500062E-02, 5.026204139E-02, 2.332689054E-02
 2.692499943E-02, 5.026204139E-02, 2.332831919E-02
 2.707500011E-02, 5.026204139E-02, 2.333148941E-02
 2.722500078E-02, 5.026204139E-02, 2.333640493E-02
 2.737499960E-02, 5.026204139E-02, 2.334307879E-02
 2.752500027E-02, 5.026204139E-02, 2.335152403E-02
 2.767500095E-02, 5.026204139E-02, 2.336176299E-02
 2.782499976E-02, 5.026204139E-02, 2.337381430E-02
 2.797500044E-02, 5.026204139E-02, 2.338770218E-02
 2.812500112E-02, 5.026204139E-02, 2.340344712E-02
 2.827499993E-02, 5.026204139E-02, 2.342106961E-02
 2.842500061E-02, 5.026204139E-02, 2.344059013E-02
 2.857499942E-02, 5.026204139E-02, 2.346202545E-02
 2.872500010E-02, 5.026204139E-02, 2.348538488E-02
 2.887500077E-02, 5.026204139E-02, 2.351067588E-02
 2.902499959E-02, 5.026204139E-02, 2.353789285E-02
 2.917500027E-02, 5.026204139E-02, 2.356702834E-02
 2.932500094E-02, 5.026204139E-02, 2.359805629E-02
 2.947499976E-02, 5.026204139E-02, 2.363094501E-02
 2.962500043E-02, 5.026204139E-02, 2.366564423E-02
 2.977500111E-02, 5.026204139E-02, 2.370208874E-02
 2.992499992E-02, 5.026204139E-02, 2.374019474E-02
 3.007500060E-02, 5.026204139E-02, 2.377985790E-02
 3.022499941E-02, 5.026204139E-02, 2.382094786E-02
 3.037500009E-02, 5.026204139E-02, 2.386331186E-02
 3.052500077E-02, 5.026204139E-02, 2.390676364E-02
 3.067499958E-02, 5.026204139E-02, 2.395108156E-02
 3.082500026E-02, 5.026204139E-02, 2.399601229E-02
 3.097500093E-02, 5.026204139E-02, 2.404126525E-02
 3.112499975E-02, 5.026204139E-02, 2.408650145E-02
 3.127500042E-02, 5.026204139E-02, 2.413134463E-02
