x,y,p,tv,av,rv,sv
 8.673617380E-19, 5.299999957E-02, 4.971905842E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
 1.500000000E-04, 5.299999833E-02, 4.969157197E-03, 4.280641582E-04,-3.40E-06,-1.56E-04, 3.984857562E-04
 3.000000000E-04, 5.299999833E-02, 4.952368844E-03, 8.454802560E-04,-9.76E-06,-2.89E-04, 7.944332577E-04
 4.500000000E-04, 5.299999833E-02, 4.935266137E-03, 1.252142626E-03,-1.91E-05,-4.00E-04, 1.186108792E-03
 6.000000000E-04, 5.299999833E-02, 4.921204650E-03, 1.648445296E-03,-3.05E-05,-4.93E-04, 1.572534882E-03
 7.500000000E-04, 5.299999833E-02, 4.910370512E-03, 2.035153589E-03,-4.33E-05,-5.69E-04, 1.953339769E-03
 9.000000000E-04, 5.299999833E-02, 4.901193839E-03, 2.413274820E-03,-5.67E-05,-6.30E-04, 2.328612224E-03
 1.050000000E-03, 5.299999833E-02, 4.892566347E-03, 2.783972813E-03,-7.01E-05,-6.79E-04, 2.698772600E-03
 1.200000000E-03, 5.299999833E-02, 4.883346150E-03, 3.148486055E-03,-8.32E-05,-7.17E-04, 3.064465091E-03
 1.350000000E-03, 5.299999833E-02, 4.872619214E-03, 3.508066580E-03,-9.55E-05,-7.45E-04, 3.426471826E-03
 1.500000000E-03, 5.299999833E-02, 4.859724644E-03, 3.863934610E-03,-1.07E-04,-7.65E-04, 3.785647757E-03
 1.650000000E-03, 5.299999833E-02, 4.843712758E-03, 4.217250778E-03,-1.17E-04,-7.79E-04, 4.142872892E-03
 1.800000000E-03, 5.299999833E-02, 4.823708153E-03, 4.569096915E-03,-1.26E-04,-7.86E-04, 4.499018166E-03
 1.950000000E-03, 5.299999833E-02, 4.800285945E-03, 4.920473473E-03,-1.33E-04,-7.88E-04, 4.854923385E-03
 2.100000000E-03, 5.299999833E-02, 4.772805387E-03, 5.272288285E-03,-1.39E-04,-7.85E-04, 5.211381639E-03
 2.250000000E-03, 5.299999833E-02, 4.740449790E-03, 5.625350926E-03,-1.44E-04,-7.78E-04, 5.569129573E-03
 2.400000000E-03, 5.299999833E-02, 4.704181899E-03, 5.980387926E-03,-1.48E-04,-7.67E-04, 5.928841361E-03
 2.550000000E-03, 5.299999833E-02, 4.664300868E-03, 6.338045068E-03,-1.49E-04,-7.53E-04, 6.291124292E-03
 2.700000000E-03, 5.299999833E-02, 4.620870681E-03, 6.698887788E-03,-1.50E-04,-7.34E-04, 6.656516949E-03
 2.850000000E-03, 5.299999833E-02, 4.574307616E-03, 7.063402259E-03,-1.50E-04,-7.12E-04, 7.025486409E-03
 3.000000000E-03, 5.299999833E-02, 4.525213983E-03, 7.431998164E-03,-1.48E-04,-6.86E-04, 7.398425838E-03
 3.150000000E-03, 5.299999833E-02, 4.474258768E-03, 7.805010384E-03,-1.45E-04,-6.56E-04, 7.775652641E-03
 3.300000000E-03, 5.299999833E-02, 4.422231008E-03, 8.182697010E-03,-1.41E-04,-6.22E-04, 8.157404870E-03
 3.450000000E-03, 5.299999833E-02, 4.370106079E-03, 8.565239085E-03,-1.36E-04,-5.84E-04, 8.543839553E-03
 3.600000000E-03, 5.299999833E-02, 4.318988625E-03, 8.952739655E-03,-1.31E-04,-5.41E-04, 8.935030288E-03
 3.750000000E-03, 5.299999833E-02, 4.270110018E-03, 9.345219348E-03,-1.24E-04,-4.93E-04, 9.330962439E-03
 3.900000000E-03, 5.299999833E-02, 4.224763036E-03, 9.742613486E-03,-1.18E-04,-4.41E-04, 9.731530642E-03
 4.050000000E-03, 5.299999833E-02, 4.184289209E-03, 1.014476628E-02,-1.10E-04,-3.83E-04, 1.013653364E-02
 4.200000000E-03, 5.299999833E-02, 4.150132633E-03, 1.055142583E-02,-1.03E-04,-3.20E-04, 1.054567018E-02
 4.350000000E-03, 5.299999833E-02, 4.123764193E-03, 1.096223499E-02,-9.51E-05,-2.52E-04, 1.095853147E-02
 4.500000000E-03, 5.299999833E-02, 4.106632174E-03, 1.137672218E-02,-8.72E-05,-1.78E-04, 1.137459386E-02
 4.650000000E-03, 5.299999833E-02, 4.100128192E-03, 1.179428907E-02,-7.95E-05,-9.95E-05, 1.179320872E-02
 4.800000000E-03, 5.299999833E-02, 4.105515549E-03, 1.221419510E-02,-7.20E-05,-1.59E-05, 1.221358937E-02
 4.950000000E-03, 5.299999833E-02, 4.123881870E-03, 1.263554066E-02,-6.47E-05, 7.229723176E-05, 1.263479683E-02
 5.100000000E-03, 5.299999833E-02, 4.156075262E-03, 1.305724649E-02,-5.79E-05, 1.647714246E-04, 1.305572200E-02
 5.250000000E-03, 5.299999833E-02, 4.202643970E-03, 1.347802950E-02,-5.16E-05, 2.610102252E-04, 1.347506415E-02
 5.400000000E-03, 5.299999833E-02, 4.263767801E-03, 1.389637992E-02,-4.58E-05, 3.603974740E-04, 1.389131078E-02
 5.550000000E-03, 5.299999833E-02, 4.339232176E-03, 1.431053907E-02,-4.07E-05, 4.621947216E-04, 1.430271788E-02
 5.700000000E-03, 5.299999833E-02, 4.428357051E-03, 1.471847360E-02,-3.61E-05, 5.655396315E-04, 1.470728624E-02
 5.850000000E-03, 5.299999833E-02, 4.529968539E-03, 1.511786488E-02,-3.22E-05, 6.694512490E-04, 1.510275221E-02
 6.000000000E-03, 5.299999833E-02, 4.642419029E-03, 1.550609834E-02,-2.88E-05, 7.728337356E-04, 1.548657778E-02
 6.150000000E-03, 5.299999833E-02, 4.763570160E-03, 1.588026667E-02,-2.60E-05, 8.744839277E-04, 1.585595374E-02
 6.300000000E-03, 5.299999833E-02, 4.890791970E-03, 1.623719124E-02,-2.36E-05, 9.731017211E-04, 1.620782009E-02
 6.450000000E-03, 5.299999833E-02, 5.021022219E-03, 1.657346115E-02,-2.17E-05, 1.067309541E-03, 1.653890284E-02
