x,y,dswirl-velocity-dy
 1.627499983E-02, 5.000000075E-02,-7.54E+00
 1.642500050E-02, 5.000000075E-02,-7.39E+00
 1.657499932E-02, 5.000000075E-02,-7.23E+00
 1.672499999E-02, 5.000000075E-02,-7.07E+00
 1.687500067E-02, 5.000000075E-02,-6.90E+00
 1.702499948E-02, 5.000000075E-02,-6.71E+00
 1.717500016E-02, 5.000000075E-02,-6.52E+00
 1.732500084E-02, 5.000000075E-02,-6.32E+00
 1.747499965E-02, 5.000000075E-02,-6.11E+00
 1.762500033E-02, 5.000000075E-02,-5.90E+00
 1.777499914E-02, 5.000000075E-02,-5.68E+00
 1.792499982E-02, 5.000000075E-02,-5.45E+00
 1.807500049E-02, 5.000000075E-02,-5.22E+00
 1.822499931E-02, 5.000000075E-02,-4.99E+00
 1.837499999E-02, 5.000000075E-02,-4.76E+00
 1.852500066E-02, 5.000000075E-02,-4.53E+00
 1.867499948E-02, 5.000000075E-02,-4.30E+00
 1.882500015E-02, 5.000000075E-02,-4.08E+00
 1.897500083E-02, 5.000000075E-02,-3.87E+00
 1.912499964E-02, 5.000000075E-02,-3.67E+00
 1.927500032E-02, 5.000000075E-02,-3.48E+00
 1.942499913E-02, 5.000000075E-02,-3.31E+00
 1.957499981E-02, 5.000000075E-02,-3.15E+00
 1.972500049E-02, 5.000000075E-02,-3.02E+00
 1.987499930E-02, 5.000000075E-02,-2.91E+00
 2.002499998E-02, 5.000000075E-02,-2.83E+00
 2.017500065E-02, 5.000000075E-02,-2.77E+00
 2.032499947E-02, 5.000000075E-02,-2.75E+00
 2.047500014E-02, 5.000000075E-02,-2.75E+00
 2.062499896E-02, 5.000000075E-02,-2.78E+00
 2.077499963E-02, 5.000000075E-02,-2.84E+00
 2.092500031E-02, 5.000000075E-02,-2.93E+00
 2.107499912E-02, 5.000000075E-02,-3.04E+00
 2.122499980E-02, 5.000000075E-02,-3.18E+00
 2.137500048E-02, 5.000000075E-02,-3.33E+00
 2.152499929E-02, 5.000000075E-02,-3.51E+00
 2.167499997E-02, 5.000000075E-02,-3.70E+00
 2.182500064E-02, 5.000000075E-02,-3.90E+00
 2.197499946E-02, 5.000000075E-02,-4.12E+00
 2.212500013E-02, 5.000000075E-02,-4.34E+00
 2.227499895E-02, 5.000000075E-02,-4.57E+00
 2.242499962E-02, 5.000000075E-02,-4.80E+00
 2.257500030E-02, 5.000000075E-02,-5.03E+00
 2.272499911E-02, 5.000000075E-02,-5.26E+00
 2.287499979E-02, 5.000000075E-02,-5.48E+00
 2.302500047E-02, 5.000000075E-02,-5.71E+00
 2.317499928E-02, 5.000000075E-02,-5.93E+00
 2.332499996E-02, 5.000000075E-02,-6.14E+00
 2.347500063E-02, 5.000000075E-02,-6.34E+00
 2.362499945E-02, 5.000000075E-02,-6.54E+00
 2.377500013E-02, 5.000000075E-02,-6.73E+00
 2.392499894E-02, 5.000000075E-02,-6.91E+00
 2.407499962E-02, 5.000000075E-02,-7.08E+00
 2.422500029E-02, 5.000000075E-02,-7.24E+00
 2.437499911E-02, 5.000000075E-02,-7.40E+00
 2.452499978E-02, 5.000000075E-02,-7.54E+00
 2.467500046E-02, 5.000000075E-02,-7.67E+00
 2.482499927E-02, 5.000000075E-02,-7.79E+00
 2.497499995E-02, 5.000000075E-02,-7.91E+00
 2.512500063E-02, 5.000000075E-02,-8.01E+00
 2.527499944E-02, 5.000000075E-02,-8.10E+00
 2.542500012E-02, 5.000000075E-02,-8.19E+00
 2.557499893E-02, 5.000000075E-02,-8.26E+00
 2.572499961E-02, 5.000000075E-02,-8.32E+00
 2.587500028E-02, 5.000000075E-02,-8.38E+00
 2.602499910E-02, 5.000000075E-02,-8.43E+00
 2.617499977E-02, 5.000000075E-02,-8.46E+00
 2.632500045E-02, 5.000000075E-02,-8.49E+00
 2.647499926E-02, 5.000000075E-02,-8.51E+00
 2.662499994E-02, 5.000000075E-02,-8.52E+00
 2.677500062E-02, 5.000000075E-02,-8.52E+00
 2.692499943E-02, 5.000000075E-02,-8.52E+00
 2.707500011E-02, 5.000000075E-02,-8.50E+00
 2.722499892E-02, 5.000000075E-02,-8.47E+00
 2.737499960E-02, 5.000000075E-02,-8.44E+00
 2.752500027E-02, 5.000000075E-02,-8.40E+00
 2.767499909E-02, 5.000000075E-02,-8.35E+00
 2.782499976E-02, 5.000000075E-02,-8.28E+00
 2.797500044E-02, 5.000000075E-02,-8.21E+00
 2.812499925E-02, 5.000000075E-02,-8.13E+00
 2.827499993E-02, 5.000000075E-02,-8.04E+00
 2.842500061E-02, 5.000000075E-02,-7.94E+00
 2.857499942E-02, 5.000000075E-02,-7.83E+00
 2.872500010E-02, 5.000000075E-02,-7.72E+00
 2.887499891E-02, 5.000000075E-02,-7.59E+00
 2.902499959E-02, 5.000000075E-02,-7.45E+00
 2.917500027E-02, 5.000000075E-02,-7.30E+00
 2.932499908E-02, 5.000000075E-02,-7.14E+00
 2.947499976E-02, 5.000000075E-02,-6.97E+00
 2.962500043E-02, 5.000000075E-02,-6.80E+00
