x,y,p,tv,av,rv,sv
 1.000000047E-03, 5.099999905E-02, 2.481795382E-03, 9.816096164E-03, 2.564106544E-04,-3.00E-04, 9.807901457E-03
 3.313725349E-03, 5.099999532E-02,-7.00E-04, 1.628153026E-02, 1.197201200E-03,-1.69E-04, 1.623642072E-02
 5.627450999E-03, 5.100000277E-02,-5.46E-03, 2.008089796E-02, 1.286679064E-03, 1.927916455E-04, 2.003856003E-02
 7.941175252E-03, 5.099999905E-02,-7.23E-03, 2.237993851E-02,-1.28E-04, 4.921597429E-04, 2.237395942E-02
 1.025490183E-02, 5.099999905E-02,-4.82E-03, 1.970861852E-02,-1.23E-03, 5.606673949E-05, 1.967003196E-02
 1.256862748E-02, 5.100000277E-02,-7.39E-04, 1.719031855E-02,-7.00E-04,-2.80E-04, 1.717362739E-02
 1.488235313E-02, 5.099999905E-02,-6.52E-05, 1.687515713E-02, 3.912752145E-04,-3.07E-04, 1.686767116E-02
 1.719607785E-02, 5.099999905E-02,-3.51E-03, 1.878460310E-02, 1.197461970E-03,-8.29E-05, 1.874611899E-02
 1.950980350E-02, 5.100000277E-02,-6.92E-03, 2.194673382E-02, 6.230648141E-04, 4.070510913E-04, 2.193394862E-02
 2.182352915E-02, 5.099999905E-02,-6.41E-03, 2.128317952E-02,-9.30E-04, 2.991775400E-04, 2.126058936E-02
 2.413725294E-02, 5.100000277E-02,-2.46E-03, 1.813934557E-02,-1.08E-03,-1.72E-04, 1.810624078E-02
 2.645097859E-02, 5.099999532E-02, 1.842193451E-04, 1.677838340E-02,-1.31E-04,-3.13E-04, 1.677478850E-02
 2.876470610E-02, 5.099999905E-02,-1.51E-03, 1.761179976E-02, 9.051332017E-04,-2.35E-04, 1.758681983E-02
 3.107843176E-02, 5.100000277E-02,-5.68E-03, 2.049094625E-02, 1.134135760E-03, 1.723254099E-04, 2.045871317E-02
 3.339215741E-02, 5.099999905E-02,-7.21E-03, 2.234896645E-02,-2.33E-04, 4.689064226E-04, 2.234260179E-02
 3.570588306E-02, 5.099999905E-02,-4.63E-03, 1.958704740E-02,-1.22E-03, 3.061677853E-05, 1.954862662E-02
 3.801960871E-02, 5.099999905E-02,-6.60E-04, 1.719798893E-02,-6.59E-04,-2.76E-04, 1.718297042E-02
 4.033333436E-02, 5.099999905E-02,-1.02E-04, 1.693229191E-02, 4.046985996E-04,-2.99E-04, 1.692468673E-02
 4.264706001E-02, 5.099999905E-02,-3.53E-03, 1.880208775E-02, 1.196192112E-03,-8.43E-05, 1.876371354E-02
 4.496078566E-02, 5.100000277E-02,-6.96E-03, 2.193472907E-02, 6.415705429E-04, 3.993609571E-04, 2.192152292E-02
 4.727450758E-02, 5.099999905E-02,-6.52E-03, 2.136576921E-02,-9.09E-04, 3.057225258E-04, 2.134408057E-02
 4.958824068E-02, 5.099999905E-02,-2.63E-03, 1.825992763E-02,-1.10E-03,-1.59E-04, 1.822613738E-02
 5.190196261E-02, 5.099999905E-02, 1.415713923E-04, 1.685264520E-02,-1.94E-04,-3.00E-04, 1.684874482E-02
 5.421568081E-02, 5.099999905E-02,-1.22E-03, 1.749571413E-02, 8.261535550E-04,-2.46E-04, 1.747432537E-02
 5.652941391E-02, 5.099999905E-02,-5.34E-03, 2.015385032E-02, 1.188606606E-03, 1.127473297E-04, 2.011836879E-02
 5.884313583E-02, 5.099999905E-02,-7.33E-03, 2.243182622E-02,-3.12E-05, 4.746180784E-04, 2.242655307E-02
 6.115686148E-02, 5.099999905E-02,-5.21E-03, 2.004796825E-02,-1.20E-03, 9.284592670E-05, 2.001192421E-02
 6.347058713E-02, 5.099999532E-02,-1.13E-03, 1.748282462E-02,-7.97E-04,-2.47E-04, 1.746279374E-02
 6.578431278E-02, 5.100000277E-02, 1.231495116E-04, 1.689925976E-02, 2.042294363E-04,-2.91E-04, 1.689537242E-02
 6.809803843E-02, 5.099999905E-02,-2.62E-03, 1.826307178E-02, 1.092604245E-03,-1.61E-04, 1.822954789E-02
 7.041176409E-02, 5.100000277E-02,-6.53E-03, 2.131671831E-02, 9.368464234E-04, 2.911756746E-04, 2.129398473E-02
 7.272548974E-02, 5.099999905E-02,-7.10E-03, 2.204040438E-02,-5.91E-04, 4.054522724E-04, 2.202856541E-02
 7.503922284E-02, 5.099999905E-02,-3.82E-03, 1.901562698E-02,-1.20E-03,-6.42E-05, 1.897735335E-02
 7.735294104E-02, 5.099999905E-02,-2.99E-04, 1.712530851E-02,-4.90E-04,-2.73E-04, 1.711597852E-02
 7.966666669E-02, 5.099999905E-02,-3.31E-04, 1.713900454E-02, 5.064925645E-04,-2.72E-04, 1.712924242E-02
 8.198039234E-02, 5.099999905E-02,-3.89E-03, 1.905382425E-02, 1.208514092E-03,-5.93E-05, 1.901527680E-02
 8.429412544E-02, 5.100000277E-02,-7.15E-03, 2.206699923E-02, 5.815992481E-04, 4.069540300E-04, 2.205542848E-02
 8.660785109E-02, 5.099999905E-02,-6.56E-03, 2.132966556E-02,-9.36E-04, 2.858229564E-04, 2.130705304E-02
 8.892156929E-02, 5.099999905E-02,-2.69E-03, 1.834015176E-02,-1.09E-03,-1.56E-04, 1.830704510E-02
 9.123529494E-02, 5.099999905E-02, 6.221646618E-05, 1.700367965E-02,-2.40E-04,-2.75E-04, 1.699964330E-02
 9.354902059E-02, 5.099999905E-02,-9.32E-04, 1.744353771E-02, 7.224313449E-04,-2.48E-04, 1.742668264E-02
 9.586274624E-02, 5.099999905E-02,-4.88E-03, 1.975528151E-02, 1.219263766E-03, 3.893871690E-05, 1.971750148E-02
 9.817647189E-02, 5.100000277E-02,-7.40E-03, 2.240462042E-02, 2.325431851E-04, 4.579965898E-04, 2.239850163E-02
 1.004901901E-01, 5.099999905E-02,-5.93E-03, 2.065421641E-02,-1.12E-03, 1.754829136E-04, 2.062322199E-02
 1.028039232E-01, 5.100000277E-02,-1.87E-03, 1.791005582E-02,-9.49E-04,-2.04E-04, 1.788358577E-02
 1.051176563E-01, 5.099999905E-02, 1.800222672E-04, 1.696933620E-02,-4.39E-05,-2.73E-04, 1.696696691E-02
 1.074313745E-01, 5.099999905E-02,-1.54E-03, 1.772814617E-02, 8.864846313E-04,-2.23E-04, 1.770444028E-02
 1.097450927E-01, 5.100000277E-02,-5.64E-03, 2.034855820E-02, 1.175444224E-03, 1.310478256E-04, 2.031406015E-02
 1.120588332E-01, 5.099999905E-02,-7.48E-03, 2.245807461E-02,-1.01E-04, 4.831156111E-04, 2.245245688E-02
 1.143725440E-01, 5.099999905E-02,-5.26E-03, 1.981993951E-02,-1.34E-03, 1.368645171E-04, 1.977403834E-02
