x,y,p,tv,av,rv,sv
 5.675999873E-02, 5.000000000E-02,-1.60E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02
 5.675999682E-02, 5.013126261E-02,-1.44E-02, 2.438219966E-02, 2.675976524E-04, 6.023996912E-06, 2.438039991E-02
 5.675999682E-02, 5.026203920E-02,-1.29E-02, 2.377148104E-02, 4.943117835E-04, 1.762275437E-05, 2.376607555E-02
 5.675999682E-02, 5.039233010E-02,-1.14E-02, 2.316845645E-02, 6.829514999E-04, 3.524741716E-05, 2.315816005E-02
 5.675999682E-02, 5.052213711E-02,-1.00E-02, 2.257463595E-02, 8.363983987E-04, 5.756271056E-05, 2.255890623E-02
 5.675999682E-02, 5.065146202E-02,-8.75E-03, 2.199208359E-02, 9.573998824E-04, 8.355890994E-05, 2.197095277E-02
 5.675999682E-02, 5.078030663E-02,-7.56E-03, 2.142317756E-02, 1.048553819E-03, 1.121905977E-04, 2.139710955E-02
 5.675999682E-02, 5.090867272E-02,-6.45E-03, 2.087040291E-02, 1.112360700E-03, 1.425556518E-04, 2.084016885E-02
 5.675999682E-02, 5.103656206E-02,-5.42E-03, 2.033617366E-02, 1.151240330E-03, 1.738626915E-04, 2.030274355E-02
 5.675999682E-02, 5.116397643E-02,-4.46E-03, 1.982267040E-02, 1.167474437E-03, 2.054231542E-04, 1.978712302E-02
 5.675999682E-02, 5.129091759E-02,-3.57E-03, 1.933174441E-02, 1.163290169E-03, 2.366385970E-04, 1.929518592E-02
 5.675999682E-02, 5.141738731E-02,-2.74E-03, 1.886480793E-02, 1.140734425E-03, 2.669780857E-04, 1.882831072E-02
 5.675999682E-02, 5.154338732E-02,-1.97E-03, 1.842275638E-02, 1.101765890E-03, 2.959961827E-04, 1.838730378E-02
 5.675999682E-02, 5.166891937E-02,-1.24E-03, 1.800595937E-02, 1.048341402E-03, 3.233464193E-04, 1.797239657E-02
 5.675999682E-02, 5.179398521E-02,-5.63E-04, 1.761420583E-02, 9.822413281E-04, 3.487247101E-04, 1.758321307E-02
 5.675999682E-02, 5.191858656E-02, 7.941791303E-05, 1.724672275E-02, 9.051608495E-04, 3.718627600E-04, 1.721879437E-02
 5.675999682E-02, 5.204272515E-02, 6.888987125E-04, 1.690220674E-02, 8.187045703E-04, 3.925447130E-04, 1.687764081E-02
 5.675999682E-02, 5.216640270E-02, 1.270539782E-03, 1.657882515E-02, 7.243831607E-04, 4.105953215E-04, 1.655772311E-02
 5.675999682E-02, 5.228962092E-02, 1.828738669E-03, 1.627426723E-02, 6.236217019E-04, 4.258759461E-04, 1.625654186E-02
 5.675999682E-02, 5.241238151E-02, 2.367329735E-03, 1.598579045E-02, 5.177656121E-04, 4.382792122E-04, 1.597118095E-02
 5.675999682E-02, 5.253468618E-02, 2.889577251E-03, 1.571026713E-02, 4.080862710E-04, 4.477278492E-04, 1.569835966E-02
 5.675999682E-02, 5.265653662E-02, 3.398131580E-03, 1.544425023E-02, 2.957904817E-04, 4.541729343E-04, 1.543450242E-02
 5.675999682E-02, 5.277793451E-02, 3.894996144E-03, 1.518403560E-02, 1.820285694E-04, 4.575928501E-04, 1.517580332E-02
 5.675999682E-02, 5.289888154E-02, 4.381536325E-03, 1.492570302E-02, 6.789447139E-05, 4.579936981E-04, 1.491826821E-02
 5.675999682E-02, 5.301937938E-02, 4.858679868E-03, 1.466519223E-02,-4.56E-05, 4.554079229E-04, 1.465779025E-02
 5.675999682E-02, 5.313942969E-02, 5.326781999E-03, 1.439838705E-02,-1.57E-04, 4.498955079E-04, 1.439023245E-02
 5.675999682E-02, 5.325903415E-02, 5.785416349E-03, 1.412114965E-02,-2.67E-04, 4.415460892E-04, 1.411145970E-02
 5.675999682E-02, 5.337819441E-02, 6.233761257E-03, 1.382942485E-02,-3.72E-04, 4.304747609E-04, 1.381744075E-02
 5.675999682E-02, 5.349691211E-02, 6.670714356E-03, 1.351931487E-02,-4.73E-04, 4.168233135E-04, 1.350431991E-02
 5.675999682E-02, 5.361518890E-02, 7.094773384E-03, 1.318715000E-02,-5.69E-04, 4.007622920E-04, 1.316848477E-02
 5.675999682E-02, 5.373302642E-02, 7.504169978E-03, 1.282959384E-02,-6.59E-04, 3.824887861E-04, 1.280666912E-02
 5.675999682E-02, 5.385042630E-02, 7.896977465E-03, 1.244371467E-02,-7.42E-04, 3.622260280E-04, 1.241602208E-02
 5.675999682E-02, 5.396739017E-02, 8.271199706E-03, 1.202707484E-02,-8.17E-04, 3.402224139E-04, 1.199419609E-02
 5.675999682E-02, 5.408391964E-02, 8.624870840E-03, 1.157781406E-02,-8.83E-04, 3.167499949E-04, 1.153942937E-02
 5.675999682E-02, 5.420001632E-02, 8.956184284E-03, 1.109469355E-02,-9.41E-04, 2.921013899E-04, 1.105058984E-02
 5.675999682E-02, 5.431568183E-02, 9.263483991E-03, 1.057716827E-02,-9.88E-04, 2.665917328E-04, 1.052724837E-02
 5.675999682E-02, 5.443091777E-02, 9.545200812E-03, 1.002541334E-02,-1.02E-03, 2.405450778E-04, 9.969706370E-03
 5.675999682E-02, 5.454572573E-02, 9.800562397E-03, 9.440309696E-03,-1.05E-03, 2.142891588E-04, 9.378984285E-03
 5.675999682E-02, 5.466010729E-02, 1.002933744E-02, 8.823421917E-03,-1.06E-03, 1.881690807E-04, 8.756804096E-03
 5.675999682E-02, 5.477406406E-02, 1.023140244E-02, 8.176943190E-03,-1.06E-03, 1.625387291E-04, 8.105536792E-03
 5.675999682E-02, 5.488759759E-02, 1.040747441E-02, 7.503606300E-03,-1.05E-03, 1.377570312E-04, 7.428117547E-03
 5.675999682E-02, 5.500070947E-02, 1.055854072E-02, 6.806562650E-03,-1.02E-03, 1.141720016E-04, 6.727935081E-03
 5.675999682E-02, 5.511340126E-02, 1.068550965E-02, 6.089257068E-03,-9.81E-04, 9.210101416E-05, 6.008710307E-03
 5.675999682E-02, 5.522567452E-02, 1.079043812E-02, 5.355238259E-03,-9.23E-04, 7.184537371E-05, 5.274313541E-03
 5.675999682E-02, 5.533753080E-02, 1.087607555E-02, 4.608039296E-03,-8.49E-04, 5.369682080E-05, 4.528654735E-03
 5.675999682E-02, 5.544897165E-02, 1.094500767E-02, 3.850986319E-03,-7.57E-04, 3.791809061E-05, 3.775498413E-03
 5.675999682E-02, 5.555999863E-02, 1.099993105E-02, 3.087009548E-03,-6.46E-04, 2.472868458E-05, 3.018284330E-03
 5.675999682E-02, 5.567061325E-02, 1.104390007E-02, 2.318528059E-03,-5.17E-04, 1.431652972E-05, 2.260018599E-03
 5.675999682E-02, 5.578081706E-02, 1.107911016E-02, 1.547295324E-03,-3.67E-04, 6.763729803E-06, 1.503129042E-03
 5.675999682E-02, 5.589061158E-02, 1.110414180E-02, 7.742997156E-04,-1.95E-04, 2.182204087E-06, 7.493599877E-04
 5.675999873E-02, 5.600000000E-02, 1.111230794E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
